"course","level","day","time","full"
l1_131,1,Dienstag,16:55 - 17:35 Uhr,0
l1_132,1,Mittwoch,28:55 - 29:88 Uhr,0
l1_133,2,Samstag,28:55 - 29:88 Uhr,0
l1_134,2,Mittwoch,28:55 - 29:88 Uhr,1
l1_135,3,Dienstag,28:55 - 29:88 Uhr,0
l1_136,4,Mittwoch,28:55 - 29:88 Uhr,0
l1_137,5,Freitag,28:55 - 29:88 Uhr,0
l1_138,6,Mittwoch,28:55 - 29:88 Uhr,0
l1_139,1,Dienstag,28:55 - 29:88 Uhr,0
l1_141,2,Mittwoch,28:55 - 29:88 Uhr,0
l1_142,4,Samstag,28:55 - 29:88 Uhr,1
l1_143,5,Mittwoch,28:55 - 29:88 Uhr,0
l1_144,6,Freitag,28:55 - 29:88 Uhr,0
l1_145,7,Mittwoch,28:55 - 29:88 Uhr,0
l1_146,8,Dienstag,28:55 - 29:88 Uhr,0
l1_147,5,Mittwoch,28:55 - 29:88 Uhr,1
l1_148,6,Samstag,28:55 - 29:88 Uhr,0
l1_149,2,Dienstag,28:55 - 29:88 Uhr,0
l1_150,7,Mittwoch,28:54 - 29:88 Uhr,0
l1_151,2,Freitag,28:55 - 29:88 Uhr,0
